,NGA,PolID,Time
4754,Middle Yellow River Valley,CnEHan*,100
8010,Konya Plain,TrByzM2,1000
140,Konya Plain,TrERom*,600
138,Konya Plain,TrERom*,400
4751,Middle Yellow River Valley,CnWHan*,-200
3037,Konya Plain,TrERom*,500
8146,Paris Basin,FrBurbE,1600
4752,Middle Yellow River Valley,CnWHan*,-100
4753,Middle Yellow River Valley,CnWHan*,0
965,Konya Plain,TrRomDm,300
977,Konya Plain,TrOttm4,1700
1390,Konya Plain,TrOttm3,1600
163,Latium,ItRomPr,0
5181,Middle Yellow River Valley,CnMing*,1400
165,Latium,ItRomPr,200
164,Latium,ItRomPr,100
3107,Middle Yellow River Valley,CnNSong,1000
5182,Middle Yellow River Valley,CnMing*,1500
3108,Middle Yellow River Valley,CnNSong,1100
4769,Middle Yellow River Valley,CnMing*,1600
7250,Middle Yellow River Valley,CnYuan*,1300
1937,Paris Basin,FrBurbL,1700
7254,Middle Yellow River Valley,CnQingE,1700
217,Middle Yellow River Valley,CnQingL,1800
218,Middle Yellow River Valley,CnQingL,1900
