,NGA,PolID,Time
2604,Konya Plain,TrNeoCR,-7000
1361,Konya Plain,TrNeoER,-9600
4978,Cahokia,USMisRo,300
8,Cahokia,USMisEW,-600
1665,Cahokia,USMisMW,-100
6222,Cahokia,USMisPa,600
4565,Cahokia,USMisMu,500
5534,Latium,ItLatBA,-1800
6935,Susiana,IrKhzE*,-6000
2056,Valley of Oaxaca,MxTieLa,-1400
3019,Konya Plain,TrNeoLT,-6600
3879,Latium,ItLatBA,-1200
1189,Upper Egypt,EgBadar,-4400
3880,Latium,ItLatIA,-1000
6843,Niger Inland Delta,MlJeJe1,-200
5401,Cahokia,USOneot,1400
1137,Susiana,IrForma,-7200
286,Sogdiana,UzKhw01,-900
6248,Chuuk Islands,FmTrukE,1800
8101,North Colombia,CoNahua,900
1136,Susiana,IrPrCer,-7800
6108,Susiana,IrKhzEM,-5700
180,Lena River Valley,RuYakuE,1400
7684,North Colombia,CoNahua,600
6327,Kapuasi Basin,IdBrokE,1700
