,NGA,PolID,Time,Gauss1,Gauss2
8,Cahokia,USMisEW,-600,0.999999427,0.000000573
11,Cahokia,USMisMu,500,0.9999980265,1.97353429405365E-06
10,Cahokia,USMisRo,300,0.9999979845,2.01550082396641E-06
9,Cahokia,USMisMW,-100,0.9999963815,3.61853662561681E-06
119,Konya Plain,TrNeoER,-9600,0.9999962372,3.76281712011917E-06
152,Latium,ItLatBA,-1800,0.9999930213,6.97874739432481E-06
219,Niger Inland Delta,MlJeJe1,-200,0.9999929789,7.02109072734365E-06
12,Cahokia,USMisPa,600,0.9999915741,8.42594287622617E-06
286,Sogdiana,UzKhw01,-900,0.9999881066,1.18933754764034E-05
400,Valley of Oaxaca,MxTieLa,-1400,0.9999862002,1.37998188795687E-05
180,Lena River Valley,RuYakuE,1400,0.999980461,0.000019539
154,Latium,ItLatIA,-1000,0.9999755659,2.443408405609E-05
401,Valley of Oaxaca,MxSanGu,-1100,0.9999666395,3.33604531612293E-05
120,Konya Plain,TrNeoCR,-7000,0.9999598918,4.01081906090404E-05
117,Kapuasi Basin,IdBrokE,1700,0.9999589653,4.10346733762894E-05
121,Konya Plain,TrNeoLT,-6600,0.9999588359,4.11641484930565E-05
122,Konya Plain,TrClcER,-6000,0.9999559338,4.40661697953312E-05
402,Valley of Oaxaca,MxRosar,-700,0.9999429232,5.7076847837593E-05
308,Susiana,IrPrCer,-7800,0.9999273508,7.26491906474051E-05
361,Upper Egypt,EgBadar,-4400,0.999905383,0.000094617
362,Upper Egypt,EgNaqa1,-3800,0.9998975943,0.0001024057
312,Susiana,IrKhzEM,-5700,0.9998900922,0.0001099078
232,North Colombia,CoNahua,600,0.9998892746,0.0001107254
153,Latium,ItLatBA,-1200,0.9998880505,0.0001119495
236,North Colombia,CoNahua,1000,0.9998870503,0.0001129497
309,Susiana,IrForma,-7200,0.9998801483,0.0001198517
13,Cahokia,USMisSp,800,0.9998653271,0.0001346729
82,Kachi Plain,PkCeraN,-5500,0.9998648111,0.0001351889
51,Deccan,InDecIA,-1200,0.9998536944,0.0001463056
155,Latium,ItLatIA,-800,0.9998504583,0.0001495417
260,Paris Basin,FrHallA,-1000,0.9998463206,0.0001536794
234,North Colombia,CoNahua,800,0.9998095454,0.0001904546
52,Deccan,InDecIA,-900,0.99970247,0.00029753
