,NGA,PolID,Time
7585,Konya Plain,TrPhryg,-800
2408,Susiana,IrNElm1,-900
6477,Paris Basin,FrTeneB,-200
1072,Orkhon Valley,MnXianb,100
761,Susiana,IrElym2,100
7295,Oro PNG,PgOrokL,1900
6867,Orkhon Valley,MnXngnL,0
5816,Cambodian Basin,KhFunaE,300
7694,Orkhon Valley,MnXngnM,-200
3806,Iceland,NorKing,1300
749,Susiana,IrMElm2,-1400
6123,Susiana,IrAwanE,-2600
7369,Susiana,IrSukkE,-1800
7781,Susiana,IrShima,-2000
5337,Upper Egypt,EgDyn1*,-3100
4470,Susiana,IrSukkE,-1900
3608,Sogdiana,UzSogdi,700
2482,Yemeni Coastal Plain,YeQasmi,1700
3644,Susiana,IrSukkL,-1700
7366,Susiana,IqAkkad,-2200
72,Finger Lakes,UsIroqL,1800
6501,Sogdiana,AfTochr,0
1316,Garo Hills,InGaroL,1900
7417,Upper Egypt,EgThebH,-1700
1198,Upper Egypt,EgDyn2*,-2900
