NGA,Polity,Start Period,End Period
Ghanaian Coast,GhAshnE,1501CE,1701CE
Ghanaian Coast,GhAshnL,1702CE,1895CE
Niger Inland Delta,MlJeJe1,250BCE , 49CE
Niger Inland Delta,MlJeJe2,50CE,399CE
Niger Inland Delta,MlJeJe3,400CE,899CE
Niger Inland Delta,MlJeJe4,900CE,999CE
Niger Inland Delta,MrWagdM,1000CE,1077CE
Niger Inland Delta,MrWagdL,1100CE,1202CE
Niger Inland Delta,MlMali*,1235CE,1410CE
Niger Inland Delta,MlSong2,1493CE,1590CE
Niger Inland Delta,MaSaadi,1591CE,1618CE
Niger Inland Delta,MlSegou,1640CE,1711CE
Niger Inland Delta,MlBaman,1712CE,1818CE
Upper Egypt,EgBadar,4400BCE,3801BCE
Upper Egypt,EgNaqa1,3800BCE,3551BCE
Upper Egypt,EgNaqa2,3550BCE,3301BCE
Upper Egypt,EgNaqa3,3300BCE,3101BCE
Upper Egypt,EgDyn1,3100BCE,2901BCE
Upper Egypt,EgDyn2,2900BCE,2651BCE
Upper Egypt,EgOldK1,2650BCE,2351BCE
Upper Egypt,EgOldK2,2350BCE,2151BCE
Upper Egypt,EgRegns,2150BCE,2017BCE
Upper Egypt,EgMidKg,2016BCE,1721BCE
Upper Egypt,EgThebH,1720BCE,1567BCE
Upper Egypt,EgNKThu,1550BCE,1294BCE
Upper Egypt,EgNKRam,1293BCE,1071BCE
Upper Egypt,EgThebL,1070BCE,761BCE
Upper Egypt,SdKusht,760BCE,656BCE
Upper Egypt,EgSaite,655BCE,526BCE
Upper Egypt,IrAchae,525BCE,405BCE
Upper Egypt,EgIntOc,404BCE,343BCE
Upper Egypt,EgPtol1,305BCE,218BCE
Upper Egypt,EgPtol2,217BCE,32BCE
Upper Egypt,ItRomPr,31BCE , 283CE
Upper Egypt,TrRomDm,284CE,394CE
Upper Egypt,TrERom,395CE,632CE
Upper Egypt,SyCalUm,661CE,749CE
Upper Egypt,IqAbbs1,750CE,867CE
Upper Egypt,EgTulIk,868CE,969CE
Upper Egypt,TnFatim,970CE,1170CE
Upper Egypt,EgAyyub,1171CE,1259CE
Upper Egypt,EgMamBh,1260CE,1347CE
Upper Egypt,EgMamCP,1348CE,1411CE
Upper Egypt,EgMamBu,1412CE,1516CE
Upper Egypt,TrOttm3,1517CE,1682CE
Upper Egypt,TrOttm4,1683CE,1798CE
Iceland,IsCommw,930CE,1262CE
Iceland,NorKing,1263CE,1380CE
Paris Basin,FrBeakr,3200BCE,2201BCE
Paris Basin,FrAtlBA,2200BCE,1001BCE
Paris Basin,FrHallA,1000BCE,901BCE
Paris Basin,FrHallB,900BCE,701BCE
Paris Basin,FrHallC,700BCE,601BCE
